Exercise Type,Duration (min),Calories Burned,Meal Type,Calories Intake,"Macros (Protein, Carbs, Fat)",Water Intake (L),Hours Slept,Sleep Quality,Diet Plan,Vegetarian Meal Suggestion,Non-Vegetarian Meal Suggestion
Cycling,70,409,Snack,347,"17g Protein, 32g Carbs, 12g Fat",0.9,5,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Swimming,29,303,Lunch,212,"35g Protein, 88g Carbs, 30g Fat",2.3,5,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Yoga,78,622,Snack,723,"16g Protein, 83g Carbs, 12g Fat",3.4,7,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,59,331,Snack,420,"31g Protein, 36g Carbs, 23g Fat",2.6,4,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Roasted turkey with wild rice and green beans
Strength Training,84,568,Snack,678,"26g Protein, 66g Carbs, 6g Fat",1.9,10,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Swimming,25,687,Breakfast,840,"26g Protein, 77g Carbs, 26g Fat",1.9,5,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Roasted turkey with wild rice and green beans
Cycling,106,338,Dinner,977,"33g Protein, 37g Carbs, 30g Fat",2.1,8,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Swimming,30,312,Lunch,216,"11g Protein, 51g Carbs, 12g Fat",3.3,7,Good,Standard balanced diet.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Swimming,83,688,Dinner,438,"28g Protein, 56g Carbs, 6g Fat",2.5,7,Excellent,Standard balanced diet.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Swimming,91,584,Lunch,318,"48g Protein, 66g Carbs, 12g Fat",1,7,Good,Standard balanced diet.,Greek yogurt with berries and granola,Baked salmon with sweet potato and spinach
Running,67,341,Breakfast,688,"10g Protein, 56g Carbs, 10g Fat",1.2,8,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Cycling,83,362,Dinner,951,"41g Protein, 86g Carbs, 9g Fat",1.3,6,Good,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Swimming,11,96,Dinner,640,"29g Protein, 56g Carbs, 30g Fat",3.4,4,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Scrambled eggs with turkey sausage
Swimming,83,303,Breakfast,468,"25g Protein, 61g Carbs, 29g Fat",3.4,5,Fair,Standard balanced diet.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Running,47,141,Breakfast,632,"14g Protein, 62g Carbs, 29g Fat",2.5,7,Good,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Yoga,14,789,Breakfast,478,"25g Protein, 92g Carbs, 14g Fat",2.7,10,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Strength Training,103,526,Lunch,443,"19g Protein, 21g Carbs, 7g Fat",2.9,6,Fair,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Running,23,354,Breakfast,302,"42g Protein, 52g Carbs, 18g Fat",3.2,8,Excellent,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Scrambled eggs with turkey sausage
Yoga,22,465,Breakfast,516,"47g Protein, 65g Carbs, 15g Fat",2.5,4,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Strength Training,13,163,Breakfast,558,"29g Protein, 92g Carbs, 28g Fat",1.3,9,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Yoga,37,457,Breakfast,835,"43g Protein, 80g Carbs, 20g Fat",2.4,8,Excellent,Balanced meal with lean protein.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Running,54,67,Snack,477,"18g Protein, 82g Carbs, 25g Fat",2.6,9,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Beef stir-fry with vegetables
Strength Training,104,98,Lunch,664,"27g Protein, 78g Carbs, 13g Fat",1.8,6,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Cycling,30,335,Breakfast,708,"48g Protein, 77g Carbs, 23g Fat",0.9,7,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Swimming,32,65,Lunch,936,"27g Protein, 82g Carbs, 5g Fat",1.5,10,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Strength Training,117,138,Snack,218,"16g Protein, 96g Carbs, 24g Fat",2.9,7,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Yoga,62,101,Breakfast,889,"29g Protein, 27g Carbs, 23g Fat",3.1,4,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Strength Training,74,263,Breakfast,749,"44g Protein, 23g Carbs, 16g Fat",3.2,8,Excellent,Balanced meal with lean protein.,Vegetable omelet with spinach,Shrimp and avocado salad
Strength Training,91,313,Dinner,597,"25g Protein, 30g Carbs, 13g Fat",1.7,6,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Swimming,44,644,Snack,684,"17g Protein, 39g Carbs, 28g Fat",1.7,5,Fair,Standard balanced diet.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Strength Training,114,643,Lunch,827,"14g Protein, 64g Carbs, 15g Fat",2.7,10,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Cycling,41,421,Dinner,926,"16g Protein, 25g Carbs, 5g Fat",0.9,8,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Swimming,86,230,Dinner,702,"15g Protein, 70g Carbs, 12g Fat",0.6,6,Good,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Swimming,86,455,Breakfast,243,"38g Protein, 29g Carbs, 19g Fat",2.7,10,Good,Standard balanced diet.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Yoga,97,175,Dinner,898,"26g Protein, 45g Carbs, 28g Fat",2.6,8,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Swimming,76,679,Lunch,493,"28g Protein, 75g Carbs, 8g Fat",2.7,4,Excellent,Standard balanced diet.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Cycling,45,497,Breakfast,931,"16g Protein, 51g Carbs, 5g Fat",2.2,10,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Swimming,90,234,Breakfast,584,"40g Protein, 90g Carbs, 20g Fat",1.7,6,Good,Standard balanced diet.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Yoga,87,537,Lunch,765,"15g Protein, 37g Carbs, 15g Fat",3.4,5,Good,Balanced meal with lean protein.,Avocado toast with seeds,Beef stir-fry with vegetables
Cycling,82,226,Snack,894,"34g Protein, 23g Carbs, 12g Fat",3.3,7,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Swimming,42,391,Breakfast,697,"47g Protein, 42g Carbs, 30g Fat",2.2,7,Excellent,Standard balanced diet.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Cycling,108,374,Dinner,360,"33g Protein, 59g Carbs, 12g Fat",1.9,10,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Swimming,47,338,Snack,998,"36g Protein, 100g Carbs, 10g Fat",2.3,7,Good,Standard balanced diet.,Avocado toast with seeds,Shrimp and avocado salad
Cycling,105,622,Dinner,302,"15g Protein, 94g Carbs, 8g Fat",1.4,5,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Swimming,87,86,Lunch,693,"16g Protein, 42g Carbs, 8g Fat",3.2,7,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Running,42,609,Lunch,638,"13g Protein, 72g Carbs, 22g Fat",0.9,10,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Cycling,95,165,Dinner,266,"25g Protein, 88g Carbs, 13g Fat",0.6,10,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Yoga,16,222,Snack,647,"44g Protein, 46g Carbs, 22g Fat",1.4,7,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Cycling,26,118,Breakfast,330,"35g Protein, 45g Carbs, 6g Fat",2.3,8,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Strength Training,112,389,Breakfast,246,"13g Protein, 87g Carbs, 30g Fat",0.9,10,Excellent,Balanced meal with lean protein.,Greek yogurt with berries and granola,Beef stir-fry with vegetables
Swimming,114,477,Lunch,240,"21g Protein, 60g Carbs, 14g Fat",0.7,5,Excellent,Standard balanced diet.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Swimming,92,535,Breakfast,335,"20g Protein, 49g Carbs, 29g Fat",2.1,8,Excellent,Standard balanced diet.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Swimming,28,220,Breakfast,485,"40g Protein, 45g Carbs, 7g Fat",2.7,9,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Shrimp and avocado salad
Swimming,64,337,Lunch,819,"23g Protein, 36g Carbs, 28g Fat",2.9,7,Excellent,Standard balanced diet.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Running,36,547,Dinner,355,"32g Protein, 95g Carbs, 29g Fat",1.1,8,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Strength Training,65,374,Lunch,919,"28g Protein, 57g Carbs, 22g Fat",1.5,7,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Swimming,109,139,Breakfast,350,"24g Protein, 87g Carbs, 18g Fat",1.3,7,Excellent,Standard balanced diet.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Yoga,70,413,Lunch,703,"27g Protein, 62g Carbs, 8g Fat",3.1,4,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Swimming,49,767,Breakfast,658,"37g Protein, 90g Carbs, 15g Fat",0.7,5,Excellent,Standard balanced diet.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Yoga,61,590,Dinner,295,"49g Protein, 68g Carbs, 23g Fat",3.1,6,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Yoga,68,636,Snack,779,"27g Protein, 97g Carbs, 22g Fat",3.3,9,Fair,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Yoga,118,262,Snack,246,"19g Protein, 73g Carbs, 14g Fat",2.6,7,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Swimming,95,211,Breakfast,829,"47g Protein, 55g Carbs, 16g Fat",1,6,Fair,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Swimming,100,581,Breakfast,692,"47g Protein, 83g Carbs, 5g Fat",3.3,9,Excellent,Standard balanced diet.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Cycling,44,546,Dinner,282,"27g Protein, 20g Carbs, 7g Fat",0.9,6,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Swimming,20,492,Snack,767,"42g Protein, 34g Carbs, 16g Fat",1.8,7,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Running,72,70,Snack,640,"39g Protein, 33g Carbs, 14g Fat",1.5,8,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,33,93,Lunch,619,"19g Protein, 93g Carbs, 9g Fat",3.5,8,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Yoga,75,260,Lunch,764,"34g Protein, 91g Carbs, 5g Fat",2.5,4,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Swimming,74,574,Breakfast,260,"42g Protein, 85g Carbs, 12g Fat",2.1,7,Excellent,Standard balanced diet.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Swimming,40,228,Dinner,944,"13g Protein, 25g Carbs, 14g Fat",2.3,6,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Cycling,52,596,Dinner,982,"22g Protein, 38g Carbs, 23g Fat",2,4,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Cycling,112,80,Lunch,709,"14g Protein, 79g Carbs, 25g Fat",2.1,8,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,36,794,Dinner,431,"49g Protein, 27g Carbs, 25g Fat",1.5,6,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Swimming,66,444,Snack,368,"22g Protein, 22g Carbs, 12g Fat",1.5,9,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Running,59,212,Dinner,436,"48g Protein, 80g Carbs, 22g Fat",2.4,4,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Yoga,98,591,Breakfast,804,"35g Protein, 89g Carbs, 16g Fat",1.9,4,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Scrambled eggs with turkey sausage
Running,63,334,Snack,659,"22g Protein, 24g Carbs, 5g Fat",0.5,4,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Beef stir-fry with vegetables
Running,46,377,Breakfast,854,"21g Protein, 23g Carbs, 15g Fat",1.4,5,Good,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Running,106,168,Dinner,906,"29g Protein, 20g Carbs, 5g Fat",3.4,9,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Swimming,29,646,Dinner,912,"11g Protein, 76g Carbs, 6g Fat",1.4,5,Good,Standard balanced diet.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Cycling,77,369,Lunch,902,"24g Protein, 24g Carbs, 5g Fat",2.6,6,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Strength Training,32,68,Lunch,626,"16g Protein, 69g Carbs, 28g Fat",1.8,4,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Strength Training,80,467,Lunch,449,"27g Protein, 98g Carbs, 8g Fat",2.2,6,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Shrimp and avocado salad
Strength Training,103,524,Lunch,586,"17g Protein, 98g Carbs, 8g Fat",1.4,8,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Yoga,10,216,Lunch,501,"49g Protein, 26g Carbs, 14g Fat",2,9,Fair,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Swimming,39,203,Snack,206,"28g Protein, 88g Carbs, 5g Fat",1.8,6,Fair,Standard balanced diet.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Yoga,76,724,Snack,740,"22g Protein, 93g Carbs, 15g Fat",2.7,4,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Swimming,42,743,Lunch,531,"47g Protein, 78g Carbs, 7g Fat",2.6,9,Excellent,Standard balanced diet.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Swimming,72,695,Lunch,504,"28g Protein, 42g Carbs, 27g Fat",3.1,10,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Roasted turkey with wild rice and green beans
Running,52,431,Breakfast,507,"42g Protein, 85g Carbs, 23g Fat",2.2,9,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Shrimp and avocado salad
Running,21,198,Dinner,249,"32g Protein, 57g Carbs, 25g Fat",0.7,7,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Strength Training,40,516,Snack,332,"13g Protein, 60g Carbs, 20g Fat",1.1,7,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Swimming,104,698,Lunch,847,"47g Protein, 72g Carbs, 28g Fat",2.8,8,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Shrimp and avocado salad
Running,50,184,Lunch,768,"49g Protein, 41g Carbs, 23g Fat",2.5,8,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Strength Training,111,585,Dinner,364,"17g Protein, 23g Carbs, 28g Fat",1.3,5,Fair,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Strength Training,68,579,Dinner,490,"19g Protein, 33g Carbs, 25g Fat",0.8,8,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Yoga,62,622,Breakfast,829,"36g Protein, 40g Carbs, 15g Fat",2.3,7,Excellent,Balanced meal with lean protein.,Avocado toast with seeds,Roasted turkey with wild rice and green beans
Strength Training,34,157,Snack,764,"16g Protein, 71g Carbs, 24g Fat",2.2,10,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Running,56,223,Lunch,842,"35g Protein, 63g Carbs, 5g Fat",0.5,7,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Swimming,24,395,Lunch,696,"12g Protein, 100g Carbs, 8g Fat",3.2,5,Excellent,Standard balanced diet.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Running,11,793,Lunch,407,"41g Protein, 87g Carbs, 8g Fat",1,5,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Strength Training,52,445,Dinner,331,"34g Protein, 22g Carbs, 19g Fat",3.3,10,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Running,88,118,Lunch,766,"50g Protein, 23g Carbs, 19g Fat",1.3,8,Excellent,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
